"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","BRIDGE MODE EAP PASSPOINT SETUP","","7","0","1","0","0"
"","VLAN MODE EAP PASSPOINT SETUP","","4","0","0","0","0"
"","NAT MODE CLIENT CONNECTIVITY","","2","15","23","0","0"
"","NAT MODE EAP PASSPOINT SETUP","","4","0","0","0","0"
