"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jul 01 01:57:31 UTC 2021","Thu Jul 01 01:57:31 UTC 2021","0","e2e.interOp.iOS.OpenRoamingPassPoint","test_OpenRoaming_BridgeMode","TestOpenRoamingBridge","","","test_wpa2_only_eap_2g_BRIDGE[push_ap_profile0-setup_profiles0]",""
"broken","Thu Jul 01 01:57:57 UTC 2021","Thu Jul 01 01:57:57 UTC 2021","0","e2e.interOp.iOS.OpenRoamingPassPoint","test_OpenRoaming_NatMode","TestOpenRoamingNAT","","","test_OpenRoaming_2g_WPA2_EAP_NAT[push_ap_profile0-setup_profiles0]",""
"broken","Thu Jul 01 02:56:31 UTC 2021","Thu Jul 01 02:57:45 UTC 2021","73646","e2e.interOp.iOS.client_connectivity","test_NatMode","TestNatMode","","","test_ClientConnectivity_5g_WPA2_Personal[setup_profiles0]",""
"failed","Thu Jul 01 01:08:06 UTC 2021","Thu Jul 01 01:08:56 UTC 2021","50236","e2e.interOp.android.PassPointConnection","test_PassPointConnection","TestPassPointConnection","","","test_PassPointConnection_5g_WPA2_Personal[setup_profiles0]",""
"failed","Thu Jul 01 01:12:45 UTC 2021","Thu Jul 01 01:13:35 UTC 2021","49831","e2e.interOp.android.PassPointConnection","test_PassPointConnection","TestPassPointConnection","","","test_PassPointConnection_5g_WPA[setup_profiles0]",""
"passed","Thu Jul 01 01:46:43 UTC 2021","Thu Jul 01 01:48:36 UTC 2021","113537","e2e.interOp.iOS.AirplaneMode","test_ToggleAirplaneMode","TestToggleAirplaneMode","","","test_ToogleAirplaneMode_5g_WPA2_Personal[setup_profiles0]",""
"failed","Thu Jul 01 01:00:52 UTC 2021","Thu Jul 01 01:00:52 UTC 2021","0","e2e.interOp.android.OpenRoamingPassPoint","test_OpenRoaming_BridgeMode","TestOpenRoamingBridgeMode","","","test_wpa2_only_eap_2g[push_ap_profile0-setup_profiles0]","
             EAP Passpoint BRIDGE Mode
             pytest -m ""interop_iOS and eap_passpoint and bridge and wpa2_only_eap and twog""
        "
"passed","Thu Jul 01 01:42:50 UTC 2021","Thu Jul 01 01:44:37 UTC 2021","106972","e2e.interOp.iOS.AccessPointConnection","test_AccessPointConnection","TestAccessPointConnectivety","","","test_AccessPointConnection_2g_WPA[setup_profiles0]",""
"passed","Thu Jul 01 01:09:33 UTC 2021","Thu Jul 01 01:12:05 UTC 2021","152570","e2e.interOp.android.PassPointConnection","test_PassPointConnection","TestPassPointConnection","","","test_PassPointConnection_2g_WPA2_Personal[setup_profiles0]",""
"passed","Thu Jul 01 02:34:21 UTC 2021","Thu Jul 01 02:35:35 UTC 2021","73800","e2e.interOp.iOS.PassPoint","test_PassPointConnection","TestPassPointConnection","","","test_PassPointConnection_5g_WPA2_Personal[setup_profiles0]",""
"failed","Thu Jul 01 03:05:41 UTC 2021","Thu Jul 01 03:06:27 UTC 2021","46567","e2e.interOp.iOS.client_connectivity","test_NatMode","TestNatMode","","","test_ClientConnectivity_5g_WPA[setup_profiles0]",""
"passed","Thu Jul 01 01:49:48 UTC 2021","Thu Jul 01 01:51:00 UTC 2021","71566","e2e.interOp.iOS.AirplaneMode","test_ToggleAirplaneMode","TestToggleAirplaneMode","","","test_ToogleAirplaneMode_2g_WPA2_Personal[setup_profiles0]",""
"failed","Thu Jul 01 00:40:07 UTC 2021","Thu Jul 01 00:40:56 UTC 2021","48919","e2e.interOp.android.AirplaneMode","test_ToggleAirplaneMode","TestToggleAirplaneModeAndroid","","","test_ToogleAirplaneMode_5g_WPA[setup_profiles0]",""
"passed","Thu Jul 01 01:34:56 UTC 2021","Thu Jul 01 01:36:43 UTC 2021","107145","e2e.interOp.iOS.AccessPointConnection","test_AccessPointConnection","TestAccessPointConnectivety","","","test_AccessPointConnection_5g_WPA2_Personal[setup_profiles0]",""
