"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","NAT MODE CLIENT CONNECTIVITY","","12","2","26","0","0"
"","BRIDGE MODE EAP PASSPOINT SETUP","","3","4","1","0","0"
"","NAT MODE EAP PASSPOINT SETUP","","2","2","0","0","0"
"","VLAN MODE EAP PASSPOINT SETUP","","4","0","0","0","0"
