"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","NAT MODE CLIENT CONNECTIVITY","","36","0","16","8","0"
"","BRIDGE MODE CLIENT CONNECTIVITY","","34","0","16","10","0"
