"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Sep 13 01:29:23 UTC 2021","Mon Sep 13 01:29:23 UTC 2021","1","e2e.interOp.android.PassPointConnection","test_PassPointConnection","TestPassPointConnection","","","test_PassPointConnection_5g_WPA2_Personal[setup_profiles0]",""
"passed","Mon Sep 13 02:15:25 UTC 2021","Mon Sep 13 02:16:57 UTC 2021","91710","e2e.interOp.android.WifiMode","test_WifiMode_BridgeMode","TestToggleWifiModeBridge","","","test_ToogleWifiMode_2g_OPEN_BRIDGE[setup_profiles0]",""
"failed","Mon Sep 13 01:33:17 UTC 2021","Mon Sep 13 01:34:56 UTC 2021","99254","e2e.interOp.android.PassPointConnection","test_PassPointConnection","TestPassPointConnection","","","test_PassPointConnection_2g_WPA[setup_profiles0]",""
"passed","Mon Sep 13 01:25:21 UTC 2021","Mon Sep 13 01:26:55 UTC 2021","94259","e2e.interOp.android.AirplaneMode","test_ToggleAirplaneMode_BridgeMode","TestToggleAirplaneModeAndroidBridgeMode","","","test_ToogleAirplaneMode_2g_Open_BRIDGE[setup_profiles0]",""
"passed","Mon Sep 13 01:53:03 UTC 2021","Mon Sep 13 01:54:36 UTC 2021","93190","e2e.interOp.android.PassPointConnection","test_PassPointConnection_BridgeMode","TestPassPointConnectionBridgeMode","","","test_PassPointConnection_2g_Open_BRIDGE[setup_profiles0]",""
"passed","Mon Sep 13 01:20:59 UTC 2021","Mon Sep 13 01:21:54 UTC 2021","55370","e2e.interOp.android.AirplaneMode","test_ToggleAirplaneMode_BridgeMode","TestToggleAirplaneModeAndroidBridgeMode","","","test_ToogleAirplaneMode_2g_WPA_BRIDGE[setup_profiles0]",""
"passed","Mon Sep 13 02:22:28 UTC 2021","Mon Sep 13 02:23:26 UTC 2021","58059","e2e.interOp.android.client_connectivity","test_BridgeMode","TestBridgeMode","","","test_ClientConnectivity_5g_WPA_Bridge[setup_profiles0]",""
"passed","Mon Sep 13 01:22:58 UTC 2021","Mon Sep 13 01:24:30 UTC 2021","92324","e2e.interOp.android.AirplaneMode","test_ToggleAirplaneMode_BridgeMode","TestToggleAirplaneModeAndroidBridgeMode","","","test_ToogleAirplaneMode_5g_Open_BRIDGE[setup_profiles0]",""
"passed","Mon Sep 13 01:11:04 UTC 2021","Mon Sep 13 01:12:37 UTC 2021","92313","e2e.interOp.android.AirplaneMode","test_ToggleAirplaneMode","TestToggleAirplaneModeAndroid","","","test_ToogleAirplaneMode_5g_Open[setup_profiles0]",""
"failed","Mon Sep 13 02:02:29 UTC 2021","Mon Sep 13 02:03:36 UTC 2021","67754","e2e.interOp.android.WifiMode","test_ToggleWifiMode","TestToggleWifiMode","","","test_ToogleWifiMode_5g_OPEN[setup_profiles0]",""
"passed","Mon Sep 13 02:37:48 UTC 2021","Mon Sep 13 02:39:19 UTC 2021","90902","e2e.interOp.android.client_connectivity","test_NatMode","TestNatMode","","","test_ClientConnectivity_5g_OPEN[setup_profiles0]",""
"passed","Mon Sep 13 02:13:03 UTC 2021","Mon Sep 13 02:14:38 UTC 2021","94334","e2e.interOp.android.WifiMode","test_WifiMode_BridgeMode","TestToggleWifiModeBridge","","","test_ToogleWifiMode_5g_OPEN_BRIDGE[setup_profiles0]",""
"skipped","Mon Sep 13 01:30:14 UTC 2021","Mon Sep 13 01:30:14 UTC 2021","0","e2e.interOp.android.PassPointConnection","test_PassPointConnection","TestPassPointConnection","","","test_PassPointConnection_2g_WPA2_Personal[setup_profiles0]",""
"skipped","Mon Sep 13 01:17:31 UTC 2021","Mon Sep 13 01:17:31 UTC 2021","1","e2e.interOp.android.AirplaneMode","test_ToggleAirplaneMode_BridgeMode","TestToggleAirplaneModeAndroidBridgeMode","","","test_ToogleAirplaneMode_5g_WPA2_Personal_BRIDGE[setup_profiles0]",""
"skipped","Mon Sep 13 01:06:29 UTC 2021","Mon Sep 13 01:06:29 UTC 2021","1","e2e.interOp.android.AirplaneMode","test_ToggleAirplaneMode","TestToggleAirplaneModeAndroid","","","test_ToogleAirplaneMode_2g_WPA2_Personal[setup_profiles0]",""
"failed","Mon Sep 13 01:58:39 UTC 2021","Mon Sep 13 01:59:41 UTC 2021","62389","e2e.interOp.android.WifiMode","test_ToggleWifiMode","TestToggleWifiMode","","","test_ToogleWifiMode_5g_WPA[setup_profiles0]",""
"passed","Mon Sep 13 00:44:51 UTC 2021","Mon Sep 13 00:46:22 UTC 2021","91827","e2e.interOp.android.AccessPointConnection","test_AccessPointConnection","TestAcessPointConnection","","","test_AccessPointConnection_5g_OPEN[setup_profiles0]",""
"failed","Mon Sep 13 02:00:37 UTC 2021","Mon Sep 13 02:01:39 UTC 2021","61467","e2e.interOp.android.WifiMode","test_ToggleWifiMode","TestToggleWifiMode","","","test_ToogleWifiMode_2g_WPA[setup_profiles0]",""
"passed","Mon Sep 13 00:50:46 UTC 2021","Mon Sep 13 00:52:58 UTC 2021","131619","e2e.interOp.android.AccessPointConnection","test_AccessPointConnection_BridgeMode","TestAcessPointConnectionBridge","","","test_AccessPointConnection_5g_WPA_Bridge[setup_profiles0]",""
"skipped","Mon Sep 13 02:20:20 UTC 2021","Mon Sep 13 02:20:20 UTC 2021","1","e2e.interOp.android.client_connectivity","test_BridgeMode","TestBridgeMode","","","test_ClientConnectivity_2g_WPA2_Personal_Bridge[setup_profiles0]",""
"skipped","Mon Sep 13 01:58:03 UTC 2021","Mon Sep 13 01:58:03 UTC 2021","0","e2e.interOp.android.WifiMode","test_ToggleWifiMode","TestToggleWifiMode","","","test_ToogleWifiMode_2g_WPA2_Personal[setup_profiles0]",""
"passed","Mon Sep 13 00:30:30 UTC 2021","Mon Sep 13 00:33:04 UTC 2021","153064","e2e.interOp.android.AccessPointConnection","test_AccessPointConnection","TestAcessPointConnection","","","test_AccessPointConnection_5g_WPA2_Personal[setup_profiles0]",""
"passed","Mon Sep 13 01:00:05 UTC 2021","Mon Sep 13 01:02:55 UTC 2021","170046","e2e.interOp.android.AccessPointConnection","test_AccessPointConnection_BridgeMode","TestAcessPointConnectionBridge","","","test_AccessPointConnection_5g_OPEN_Bridge[setup_profiles0]",""
"passed","Mon Sep 13 02:26:24 UTC 2021","Mon Sep 13 02:28:00 UTC 2021","95734","e2e.interOp.android.client_connectivity","test_BridgeMode","TestBridgeMode","","","test_ClientConnectivity_5g_OPEN_Bridge[setup_profiles0]",""
"passed","Mon Sep 13 02:32:20 UTC 2021","Mon Sep 13 02:33:07 UTC 2021","46725","e2e.interOp.android.client_connectivity","test_NatMode","TestNatMode","","","test_ClientConnectivity_2g_WPA[setup_profiles0]",""
"passed","Mon Sep 13 02:20:51 UTC 2021","Mon Sep 13 02:21:23 UTC 2021","31736","e2e.interOp.android.client_connectivity","test_BridgeMode","TestBridgeMode","","","test_ClientConnectivity_2g_WPA_Bridge[setup_profiles0]",""
"passed","Mon Sep 13 00:53:42 UTC 2021","Mon Sep 13 00:55:55 UTC 2021","133088","e2e.interOp.android.AccessPointConnection","test_AccessPointConnection_BridgeMode","TestAcessPointConnectionBridge","","","test_AccessPointConnection_2g_WPA_Bridge[setup_profiles0]",""
