"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Sep 14 01:04:14 UTC 2021","Tue Sep 14 01:05:03 UTC 2021","49567","e2e.interOp.android.AirplaneMode","test_ToggleAirplaneMode","TestToggleAirplaneModeAndroid","","","test_ToogleAirplaneMode_2g_WPA[setup_profiles0]",""
"failed","Tue Sep 14 01:47:17 UTC 2021","Tue Sep 14 01:47:36 UTC 2021","18343","e2e.interOp.android.WifiMode","test_ToggleWifiMode","TestToggleWifiMode","","","test_ToogleWifiMode_5g_WPA[setup_profiles0]",""
"passed","Tue Sep 14 02:13:57 UTC 2021","Tue Sep 14 02:15:33 UTC 2021","95952","e2e.interOp.android.client_connectivity","test_BridgeMode","TestBridgeMode","","","test_ClientConnectivity_5g_OPEN_Bridge[setup_profiles0]",""
"failed","Tue Sep 14 01:50:46 UTC 2021","Tue Sep 14 01:51:54 UTC 2021","68305","e2e.interOp.android.WifiMode","test_ToggleWifiMode","TestToggleWifiMode","","","test_ToogleWifiMode_5g_OPEN[setup_profiles0]",""
"skipped","Tue Sep 14 02:08:30 UTC 2021","Tue Sep 14 02:08:30 UTC 2021","1","e2e.interOp.android.client_connectivity","test_BridgeMode","TestBridgeMode","","","test_ClientConnectivity_2g_WPA2_Personal_Bridge[setup_profiles0]",""
"skipped","Tue Sep 14 00:49:14 UTC 2021","Tue Sep 14 00:49:14 UTC 2021","0","e2e.interOp.android.AccessPointConnection","test_AccessPointConnection_BridgeMode","TestAcessPointConnectionBridge","","","test_AccessPointConnection_2g_WPA2_Personal_Bridge[setup_profiles0]",""
"failed","Tue Sep 14 01:38:18 UTC 2021","Tue Sep 14 01:39:08 UTC 2021","49706","e2e.interOp.android.PassPointConnection","test_PassPointConnection_BridgeMode","TestPassPointConnectionBridgeMode","","","test_PassPointConnection_2g_WPA_BRIDGE[setup_profiles0]",""
"passed","Tue Sep 14 02:24:51 UTC 2021","Tue Sep 14 02:26:27 UTC 2021","95713","e2e.interOp.android.client_connectivity","test_NatMode","TestNatMode","","","test_ClientConnectivity_5g_OPEN[setup_profiles0]",""
"failed","Tue Sep 14 02:09:35 UTC 2021","Tue Sep 14 02:10:26 UTC 2021","50192","e2e.interOp.android.client_connectivity","test_BridgeMode","TestBridgeMode","","","test_ClientConnectivity_2g_WPA_Bridge[setup_profiles0]",""
"failed","Tue Sep 14 01:19:58 UTC 2021","Tue Sep 14 01:20:48 UTC 2021","49701","e2e.interOp.android.AirplaneMode","test_ToggleAirplaneMode_BridgeMode","TestToggleAirplaneModeAndroidBridgeMode","","","test_ToogleAirplaneMode_2g_Open_BRIDGE[setup_profiles0]",""
"passed","Tue Sep 14 00:55:43 UTC 2021","Tue Sep 14 00:58:35 UTC 2021","171627","e2e.interOp.android.AccessPointConnection","test_AccessPointConnection_BridgeMode","TestAcessPointConnectionBridge","","","test_AccessPointConnection_5g_OPEN_Bridge[setup_profiles0]",""
"skipped","Tue Sep 14 02:17:54 UTC 2021","Tue Sep 14 02:17:54 UTC 2021","1","e2e.interOp.android.client_connectivity","test_NatMode","TestNatMode","","","test_ClientConnectivity_5g_WPA2_Personal[setup_profiles0]",""
"failed","Tue Sep 14 02:12:30 UTC 2021","Tue Sep 14 02:13:19 UTC 2021","49348","e2e.interOp.android.client_connectivity","test_BridgeMode","TestBridgeMode","","","test_ClientConnectivity_2g_OPEN_Bridge[setup_profiles0]",""
"failed","Tue Sep 14 01:31:19 UTC 2021","Tue Sep 14 01:32:09 UTC 2021","50165","e2e.interOp.android.PassPointConnection","test_PassPointConnection","TestPassPointConnection","","","test_PassPointConnection_2g_OPEN[setup_profiles0]",""
"passed","Tue Sep 14 01:13:38 UTC 2021","Tue Sep 14 01:14:31 UTC 2021","53511","e2e.interOp.android.AirplaneMode","test_ToggleAirplaneMode_BridgeMode","TestToggleAirplaneModeAndroidBridgeMode","","","test_ToogleAirplaneMode_5g_WPA_BRIDGE[setup_profiles0]",""
"skipped","Tue Sep 14 00:48:22 UTC 2021","Tue Sep 14 00:48:22 UTC 2021","1","e2e.interOp.android.AccessPointConnection","test_AccessPointConnection_BridgeMode","TestAcessPointConnectionBridge","","","test_AccessPointConnection_5g_WPA2_Personal_Bridge[setup_profiles0]",""
"skipped","Tue Sep 14 01:45:49 UTC 2021","Tue Sep 14 01:45:49 UTC 2021","1","e2e.interOp.android.WifiMode","test_ToggleWifiMode","TestToggleWifiMode","","","test_ToogleWifiMode_5g_WPA2_Personal[setup_profiles0]",""
"skipped","Tue Sep 14 01:56:13 UTC 2021","Tue Sep 14 01:56:13 UTC 2021","0","e2e.interOp.android.WifiMode","test_WifiMode_BridgeMode","TestToggleWifiModeBridge","","","test_ToogleWifiMode_5g_WPA2_Personal_BRIDGE[setup_profiles0]",""
"failed","Tue Sep 14 01:48:47 UTC 2021","Tue Sep 14 01:49:37 UTC 2021","50014","e2e.interOp.android.WifiMode","test_ToggleWifiMode","TestToggleWifiMode","","","test_ToogleWifiMode_2g_WPA[setup_profiles0]",""
"failed","Tue Sep 14 02:00:07 UTC 2021","Tue Sep 14 02:00:57 UTC 2021","50236","e2e.interOp.android.WifiMode","test_WifiMode_BridgeMode","TestToggleWifiModeBridge","","","test_ToogleWifiMode_2g_WPA_BRIDGE[setup_profiles0]",""
"failed","Tue Sep 14 02:04:05 UTC 2021","Tue Sep 14 02:04:56 UTC 2021","50729","e2e.interOp.android.WifiMode","test_WifiMode_BridgeMode","TestToggleWifiModeBridge","","","test_ToogleWifiMode_2g_OPEN_BRIDGE[setup_profiles0]",""
